date,county,cases,deaths,new_cases,new_deaths,new_cases_week_avg,new_deaths_week_avg,aggregation
2020-08-08,Polk,10140,207,22,1,75.85714285714286,0.7142857142857143,none
2020-08-08,Woodbury,3712,51,4,0,11.714285714285714,0.2857142857142857,none
2020-08-08,Black Hawk,3100,66,5,3,16.571428571428573,0.5714285714285714,none
2020-08-08,Linn,2319,87,18,0,36.42857142857143,0,none
2020-08-08,Johnson,2055,19,5,3,22,0.5714285714285714,none
2020-08-08,Dallas,1860,35,4,0,13.285714285714286,0,none
2020-08-08,Buena Vista,1791,12,0,0,1.1428571428571428,0,none
2020-08-08,Scott,1680,14,18,0,14.857142857142858,0.2857142857142857,none
2020-08-08,Dubuque,1656,31,9,0,21.857142857142858,0.2857142857142857,none
2020-08-08,Marshall,1435,26,6,1,7.714285714285714,0.2857142857142857,none
2020-08-08,Pottawattamie,1297,26,7,0,13.285714285714286,0.7142857142857143,none
2020-08-08,Story,1152,14,3,0,7.285714285714286,0.14285714285714285,none
2020-08-08,Wapello,876,33,0,0,6.714285714285714,0.2857142857142857,none
2020-08-08,Muscatine,845,48,1,0,4.285714285714286,0.14285714285714285,none
2020-08-08,Webster,793,7,0,0,12,0.2857142857142857,none
2020-08-08,Crawford,726,3,0,0,2.2857142857142856,0,none
2020-08-08,Sioux,621,3,5,0,4.714285714285714,0.14285714285714285,none
2020-08-08,Cerro Gordo,599,17,1,0,3.2857142857142856,0,none
2020-08-08,Warren,551,1,1,0,4.857142857142857,0,none
2020-08-08,Tama,548,29,1,0,1.8571428571428572,0,none
2020-08-08,Jasper,472,26,2,0,2.7142857142857144,0.2857142857142857,none
2020-08-08,Wright,463,1,4,0,3.2857142857142856,0,none
2020-08-08,Plymouth,455,9,1,0,2.142857142857143,0.14285714285714285,none
2020-08-08,Louisa,378,14,0,0,0.14285714285714285,0,none
2020-08-08,Dickinson,378,4,1,0,0.5714285714285714,0,none
2020-08-08,Clinton,372,3,5,0,9.714285714285714,0,none
2020-08-08,Washington,294,10,0,0,1.2857142857142858,0,none
2020-08-08,Boone,246,2,0,0,2.5714285714285716,0,none
2020-08-08,Hamilton,245,1,0,0,1,0,none
2020-08-08,Franklin,237,10,2,1,3.5714285714285716,0.8571428571428571,none
2020-08-08,Bremer,213,7,4,0,3.7142857142857144,0,none
2020-08-08,Clarke,197,3,0,0,2.7142857142857144,0,none
2020-08-08,Emmet,190,4,0,0,1.7142857142857142,0.42857142857142855,none
2020-08-08,Carroll,185,1,0,0,1.2857142857142858,0,none
2020-08-08,Clay,181,1,2,0,1.5714285714285714,0,none
2020-08-08,Shelby,180,1,1,0,3.4285714285714284,0,none
2020-08-08,Hardin,177,0,2,0,2.142857142857143,0,none
2020-08-08,Marion,166,0,0,0,2.5714285714285716,0,none
2020-08-08,Des Moines,159,2,3,0,3,0,none
2020-08-08,Poweshiek,157,8,2,0,1.7142857142857142,0,none
2020-08-08,Allamakee,154,4,0,0,0.7142857142857143,0,none
2020-08-08,Benton,152,1,3,0,1.8571428571428572,0,none
2020-08-08,Jackson,150,1,1,0,2.2857142857142856,0,none
2020-08-08,Floyd,146,2,1,0,4.285714285714286,0,none
2020-08-08,Mahaska,138,17,0,0,0.42857142857142855,0,none
2020-08-08,O'Brien,137,2,1,0,3,0.14285714285714285,none
2020-08-08,Guthrie,131,5,0,0,0.8571428571428571,0,none
2020-08-08,Cedar,129,1,1,0,1.4285714285714286,0,none
2020-08-08,Jones,129,2,1,0,1,0.14285714285714285,none
2020-08-08,Buchanan,124,1,0,0,2.2857142857142856,0,none
2020-08-08,Hancock,121,2,0,0,1,0,none
2020-08-08,Henry,119,3,1,0,1.1428571428571428,0,none
2020-08-08,Butler,119,2,0,0,1.1428571428571428,0,none
2020-08-08,Pocahontas,115,2,0,1,0.2857142857142857,0.14285714285714285,none
2020-08-08,Madison,114,2,0,0,2.5714285714285716,0,none
2020-08-08,Lyon,111,2,1,0,1.7142857142857142,0.2857142857142857,none
2020-08-08,Lee,108,3,0,0,2.857142857142857,0,none
2020-08-08,Humboldt,106,1,0,0,2.4285714285714284,0,none
2020-08-08,Harrison,105,0,2,0,1.4285714285714286,0,none
2020-08-08,Cherokee,105,1,1,0,1.1428571428571428,0,none
2020-08-08,Clayton,104,3,0,0,1.2857142857142858,0,none
2020-08-08,Delaware,103,1,0,0,2.2857142857142856,0,none
2020-08-08,Taylor,98,0,2,0,0.7142857142857143,0,none
2020-08-08,Iowa,96,1,0,0,1.1428571428571428,0,none
2020-08-08,Winneshiek,95,1,3,0,2.4285714285714284,0,none
2020-08-08,Page,94,0,9,0,3.2857142857142856,0,none
2020-08-08,Monona,91,0,0,0,0.14285714285714285,0,none
2020-08-08,Mills,87,0,2,0,1.1428571428571428,0,none
2020-08-08,Kossuth,84,0,0,0,1,0,none
2020-08-08,Calhoun,83,2,0,0,0.2857142857142857,0,none
2020-08-08,Sac,83,0,1,0,0.2857142857142857,0,none
2020-08-08,Osceola,82,0,3,0,0.7142857142857143,0,none
2020-08-08,Palo Alto,82,0,0,0,1.1428571428571428,0,none
2020-08-08,Jefferson,82,0,0,0,0.8571428571428571,0,none
2020-08-08,Fayette,82,0,0,0,0.7142857142857143,0,none
2020-08-08,Winnebago,79,0,0,0,1.1428571428571428,0,none
2020-08-08,Mitchell,78,0,0,0,0.2857142857142857,0,none
2020-08-08,Grundy,78,1,0,0,0.8571428571428571,0,none
2020-08-08,Union,76,1,1,0,0.8571428571428571,0,none
2020-08-08,Monroe,72,7,0,0,0.8571428571428571,0,none
2020-08-08,Worth,66,0,1,0,0.8571428571428571,0,none
2020-08-08,Cass,61,1,5,0,2.5714285714285716,0,none
2020-08-08,Lucas,60,4,0,0,2.5714285714285716,0,none
2020-08-08,Montgomery,59,4,5,0,2.2857142857142856,0.14285714285714285,none
2020-08-08,Chickasaw,54,0,0,0,0.5714285714285714,0,none
2020-08-08,Davis,54,1,0,0,0.8571428571428571,0,none
2020-08-08,Howard,49,0,0,0,0.14285714285714285,0,none
2020-08-08,Appanoose,48,3,0,0,1.1428571428571428,0,none
2020-08-08,Fremont,41,0,3,0,1,0,none
2020-08-08,Greene,41,0,1,0,0.42857142857142855,0,none
2020-08-08,Keokuk,34,1,0,0,0.5714285714285714,0,none
2020-08-08,Van Buren,34,1,0,0,0.5714285714285714,0,none
2020-08-08,Ida,29,0,0,0,0,0,none
2020-08-08,Adair,28,0,0,0,1.1428571428571428,0,none
2020-08-08,Audubon,28,1,0,0,0,0,none
2020-08-08,Decatur,23,0,0,0,0.2857142857142857,0,none
2020-08-08,Ringgold,21,1,0,0,0,0,none
2020-08-08,Wayne,19,1,0,0,0.5714285714285714,0,none
2020-08-08,Adams,16,0,0,0,0,0,none
2020-08-07,Polk,10118,206,86,0,91.28571428571429,0.7142857142857143,none
2020-08-07,Woodbury,3708,51,17,0,12.571428571428571,0.2857142857142857,none
2020-08-07,Black Hawk,3095,63,11,0,17.857142857142858,0.14285714285714285,none
2020-08-07,Linn,2301,87,22,0,42.285714285714285,0,none
2020-08-07,Johnson,2050,16,29,0,24.142857142857142,0.14285714285714285,none
2020-08-07,Dallas,1856,35,10,0,16.714285714285715,0,none
2020-08-07,Buena Vista,1791,12,0,0,1.2857142857142858,0,none
2020-08-07,Scott,1662,14,7,0,15,0.2857142857142857,none
2020-08-07,Dubuque,1647,31,24,0,23.285714285714285,0.42857142857142855,none
2020-08-07,Marshall,1429,25,4,0,8,0.14285714285714285,none
2020-08-07,Pottawattamie,1290,26,6,0,19.571428571428573,0.7142857142857143,none
2020-08-07,Story,1149,14,8,0,8.714285714285714,0.14285714285714285,none
2020-08-07,Wapello,876,33,4,0,7,0.2857142857142857,none
2020-08-07,Muscatine,844,48,4,0,5.285714285714286,0.14285714285714285,none
2020-08-07,Webster,793,7,21,0,13.428571428571429,0.2857142857142857,none
2020-08-07,Crawford,726,3,0,0,2.7142857142857144,0,none
2020-08-07,Sioux,616,3,2,0,4,0.14285714285714285,none
2020-08-07,Cerro Gordo,598,17,2,0,3.7142857142857144,0,none
2020-08-07,Warren,550,1,3,0,6.714285714285714,0,none
2020-08-07,Tama,547,29,2,0,1.8571428571428572,0,none
2020-08-07,Jasper,470,26,4,0,2.857142857142857,0.2857142857142857,none
2020-08-07,Wright,459,1,4,0,2.857142857142857,0,none
2020-08-07,Plymouth,454,9,2,1,2.7142857142857144,0.14285714285714285,none
2020-08-07,Louisa,378,14,0,0,0.14285714285714285,0,none
2020-08-07,Dickinson,377,4,0,0,0.8571428571428571,0,none
2020-08-07,Clinton,367,3,5,0,11.285714285714286,0,none
2020-08-07,Washington,294,10,1,0,1.4285714285714286,0,none
2020-08-07,Boone,246,2,2,0,2.857142857142857,0,none
2020-08-07,Hamilton,245,1,1,0,1.1428571428571428,0,none
2020-08-07,Franklin,235,9,2,0,3.7142857142857144,0.7142857142857143,none
2020-08-07,Bremer,209,7,6,0,4,0,none
2020-08-07,Clarke,197,3,2,0,3.2857142857142856,0,none
2020-08-07,Emmet,190,4,2,2,1.7142857142857142,0.42857142857142855,none
2020-08-07,Carroll,185,1,0,0,1.4285714285714286,0,none
2020-08-07,Clay,179,1,3,0,1.5714285714285714,0,none
2020-08-07,Shelby,179,1,2,0,3.4285714285714284,0,none
2020-08-07,Hardin,175,0,2,0,2,0,none
2020-08-07,Marion,166,0,4,0,2.7142857142857144,0,none
2020-08-07,Des Moines,156,2,4,0,2.5714285714285716,0,none
2020-08-07,Poweshiek,155,8,2,0,2.5714285714285716,0,none
2020-08-07,Allamakee,154,4,0,0,0.8571428571428571,0,none
2020-08-07,Benton,149,1,3,0,2.7142857142857144,0,none
2020-08-07,Jackson,149,1,1,0,2.4285714285714284,0,none
2020-08-07,Floyd,145,2,2,0,5.142857142857143,0,none
2020-08-07,Mahaska,138,17,0,0,0.7142857142857143,0,none
2020-08-07,O'Brien,136,2,1,0,2.857142857142857,0.14285714285714285,none
2020-08-07,Guthrie,131,5,0,0,1,0,none
2020-08-07,Cedar,128,1,0,0,1.5714285714285714,0,none
2020-08-07,Jones,128,2,1,0,0.8571428571428571,0.14285714285714285,none
2020-08-07,Buchanan,124,1,1,0,2.7142857142857144,0,none
2020-08-07,Hancock,121,2,0,0,1,0,none
2020-08-07,Butler,119,2,0,0,1.1428571428571428,0,none
