fips,county,population,cumulative_poulation,quartile_population,population_group
19153,Polk,490161,3155070,1,large
19113,Linn,226706,2664909,0.8446433835065466,large
19163,Scott,172943,2438203,0.7727888763165318,mid-large
19103,Johnson,151140,2265260,0.7179745615786655,mid-large
19013,Black Hawk,131228,2114120,0.670070711584846,mid-large
19193,Woodbury,103107,1982892,0.6284779735473381,mid-large
19061,Dubuque,97311,1879785,0.5957981914822809,mid-large
19169,Story,97117,1782474,0.5649554526523975,mid-large
19049,Dallas,93453,1685357,0.5341742021571629,mid-large
19155,Pottawattamie,93206,1591904,0.5045542571163238,mid-small
19181,Warren,51466,1498698,0.4750125987695994,mid-small
19045,Clinton,46429,1447232,0.45870044087769846,mid-small
19139,Muscatine,42664,1400803,0.44398476103541284,mid-small
19033,Cerro Gordo,42450,1358139,0.4304623986155616,mid-small
19127,Marshall,39369,1315689,0.4170078635339311,mid-small
19057,Des Moines,38967,1276320,0.4045298519525716,mid-small
19099,Jasper,37185,1237353,0.3921792543430098,mid-small
19187,Webster,35904,1200168,0.3803934619517158,mid-small
19179,Wapello,34969,1164264,0.3690136827392102,mid-small
19167,Sioux,34855,1129295,0.357930251943697,mid-small
19111,Lee,33657,1094440,0.34688295346854425,mid-small
19125,Marion,33253,1060783,0.3362153613073561,mid-small
19015,Boone,26234,1027530,0.3256758170183229,mid-small
19011,Benton,25645,1001296,0.3173609460328931,mid-small
19149,Plymouth,25177,975651,0.30923275870265954,mid-small
19017,Bremer,25062,950474,0.30125290405601146,mid-small
19123,Mahaska,22095,925412,0.2933094986799025,mid-small
19183,Washington,21965,903317,0.286306484483704,mid-small
19019,Buchanan,21175,881352,0.2793446738107237,mid-small
19105,Jones,20681,860177,0.2726332537788385,mid-small
19027,Carroll,20165,839496,0.26607840713518244,mid-small
19191,Winneshiek,19991,819331,0.2596871067836847,mid-small
19087,Henry,19954,799340,0.25335095576326355,mid-small
19065,Fayette,19650,779386,0.24702653189945073,small
19021,Buena Vista,19620,759736,0.2407984608899327,small
19097,Jackson,19439,740116,0.23457989838577273,small
19031,Cedar,18627,720677,0.22841870386393962,small
19157,Poweshiek,18504,702050,0.22251487288713087,small
19101,Jefferson,18295,683546,0.2166500267822901,small
19043,Clayton,17549,665251,0.21085142326477702,small
19059,Dickinson,17258,647702,0.2052892645805006,small
19055,Delaware,17011,630444,0.19981933839819718,small
19171,Tama,16854,613433,0.19442769891000833,small
19083,Hardin,16846,596579,0.1890858205998599,small
19047,Crawford,16820,579733,0.1837464778911403,small
19121,Madison,16338,562913,0.17841537588706433,small
19095,Iowa,16184,546575,0.1732370438690742,small
19041,Clay,16016,530391,0.16810752217858874,small
19067,Floyd,15642,514375,0.16303124811810832,small
19129,Mills,15109,498733,0.15807351342442483,small
19145,Page,15107,483624,0.15328471317593587,small
19109,Kossuth,14813,468517,0.14849654682780414,small
19079,Hamilton,14773,453704,0.1438015638321812,small
19023,Butler,14439,438931,0.13911925884370235,small
19085,Harrison,14049,424492,0.13454281521487638,small
19141,O'Brien,13753,410443,0.13008998215570494,small
19005,Allamakee,13687,396690,0.12573096634939954,small
19029,Cass,12836,383003,0.12139286925488182,small
19197,Wright,12562,370167,0.11732449676235393,small
19007,Appanoose,12426,357605,0.11334296861876282,small
19175,Union,12241,345179,0.10940454569946151,small
19075,Grundy,12232,332938,0.10552475856320145,small
19037,Chickasaw,11933,320706,0.10164782397854881,small
19119,Lyon,11755,308773,0.097865657497298,small
19165,Shelby,11454,297018,0.09413990814783824,small
19035,Cherokee,11235,285564,0.09050956080213751,small
19115,Louisa,11035,274329,0.0869486255455505,small
19077,Guthrie,10689,263294,0.08345108032468376,small
19081,Hancock,10630,252605,0.08006319986561312,small
19131,Mitchell,10586,241975,0.07669401946707997,small
19189,Winnebago,10354,231389,0.07333878487640527,small
19107,Keokuk,10246,221035,0.07005708272716611,small
19069,Franklin,10070,210789,0.06680961119721592,small
19137,Montgomery,9917,200719,0.06361792289869955,small
19161,Sac,9721,190802,0.06047472797750922,small
19025,Calhoun,9668,181081,0.05739365529132476,small
19091,Humboldt,9558,171413,0.054329380964606176,small
19039,Clarke,9395,161855,0.05129997115753375,small
19063,Emmet,9208,152460,0.04832222422957335,small
19089,Howard,9158,143252,0.04540374698501143,small
19051,Davis,9000,134094,0.04250111724937957,small
19073,Greene,8888,125094,0.03964856564196674,small
19147,Palo Alto,8886,116206,0.03683151245455727,small
19133,Monona,8615,107320,0.034015093167505,small
19117,Lucas,8600,98705,0.03128456737885372,small
19053,Decatur,7870,90105,0.028558795842881457,small
19135,Monroe,7707,82235,0.026064397937288236,small
19195,Worth,7381,74528,0.02362166291080705,small
19001,Adair,7152,67147,0.021282253642549927,small
19177,Van Buren,7044,59995,0.019015425965192533,small
19071,Fremont,6960,52951,0.01678282890712409,small
19093,Ida,6860,45991,0.014576855664058168,small
19151,Pocahontas,6619,39131,0.012402577438852386,small
19185,Wayne,6441,32512,0.01030468420668955,small
19173,Taylor,6121,26071,0.008263208106317768,small
19143,Osceola,5958,19950,0.006323156063098441,small
19009,Audubon,5496,13992,0.004434766898991148,small
19159,Ringgold,4894,8496,0.002692808717397712,small
19003,Adams,3602,3602,0.0011416545433223352,small
